key,doi,url,first_author,year,title,container,volume,pages,checks,note
kenney2023,,https://www.narwc.org/sightings-database.html,Kenney,2023,The North Atlantic Right Whale Consortium Database: A Guide for Users and Contributors Version 8,NARWC Reference Document 2023-01,,,url;narwc_version,The input format specification and the code books in R/narwc-codes.R
kenney2002,,,Kenney,2002,Quality-control Issues for Data Submissions to the North Atlantic Right Whale Consortium Database,NARWC Reference Document 2002-02,,,none,Background for validate_narwc(). Grey literature; no DOI.
kenneywinn1986,,https://spo.nmfs.noaa.gov/sites/default/files/pdf-content/1986/842/kenney.pdf,Kenney,1986,Cetacean high-use habitats of the northeast United States continental shelf,Fishery Bulletin,84,345-357,url,The CETAP on-effort criteria behind flag_effort() and on_effort_census_rows()
cetap1982,,,CETAP,1982,A Characterization of Marine Mammals and Turtles in the Mid- and North-Atlantic Areas of the U.S. Outer Continental Shelf Final Report,Bureau of Land Management,,,none,Survey protocol behind the effort defaults. Grey literature; no DOI.
kenneyscott1981,,,Kenney,1981,Calibration of the Beechcraft AT-11 forward observation bubble for population estimation purposes,CETAP Annual Report for 1979,,III.1-III.11,none,The STRIP right-angle distance intervals in narwc_strip_bins(). Grey literature; no DOI.
